y,x,zone_code,sub_zone_codes
2,14,51,[51820]
3,9,41,[41480]
3,10,41,[41800]
3,11,51,[51780]
3,12,51,[51790]
3,13,51,[51800]
3,14,51,[51210]
4,7,28,"[28710, 28720]"
4,8,41,[41570]
4,9,41,"[41287, 41285]"
4,10,41,[41281]
4,11,41,"[41630, 41150, 41250]"
4,12,41,[41650]
4,13,51,[51110]
4,14,51,[51810]
4,15,51,[51830]
5,7,28,[28110]
5,8,28,"[28260, 28140, 28177, 28185]"
5,9,11,"[11140, 11410, 11170, 11305, 11440, 11110, 11380]"
5,10,11,"[11290, 11350, 11320, 11200, 11230, 11260]"
5,11,41,[41310]
5,12,41,[41360]
5,13,41,[41820]
5,14,51,[51720]
5,15,51,[51760]
5,16,51,[51150]
5,20,47,[47940]
6,8,28,"[28245, 28237, 28200]"
6,9,11,"[11530, 11545, 11560, 11590, 11470, 11620, 11500]"
6,10,11,"[11650, 11680, 11740, 11710, 11215]"
6,11,41,[41450]
6,12,41,[41610]
6,13,41,[41830]
6,14,51,[51730]
6,15,51,[51770]
6,16,51,[51170]
6,22,47,[47940]
7,7,41,"[41390, 41270, 41271, 41273]"
7,8,41,"[41190, 41192, 41194, 41196, 41210]"
7,9,41,"[41410, 41290, 41430, 41170, 41171, 41173]"
7,10,41,"[41110, 41111, 41113, 41115, 41117, 41130, 41131, 41133, 41135]"
7,11,41,"[41461, 41463, 41465]"
7,12,41,[41500]
7,13,41,[41670]
7,14,51,[51130]
7,15,51,[51750]
7,16,51,[51190]
7,17,51,[51230]
8,6,44,[44825]
8,7,44,[44210]
8,8,44,[44270]
8,9,41,"[41220, 41590, 41370]"
8,10,44,"[44131, 44133]"
8,11,41,[41550]
8,12,43,"[43770, 43745]"
8,13,43,"[43150, 43130]"
8,14,43,[43800]
8,15,47,[47210]
8,16,47,[47920]
8,17,47,[47170]
8,18,47,[47930]
9,7,44,[44800]
9,8,44,[44810]
9,9,44,[44200]
9,10,36,[36110]
9,11,43,[43750]
9,12,43,"[43113, 43112]"
9,13,43,"[43114, 43111]"
9,14,43,[43760]
9,15,47,[47280]
9,16,47,[47900]
9,17,47,[47760]
9,18,47,[47770]
10,8,44,[44180]
10,9,44,[44760]
10,10,44,[44790]
10,11,44,[44150]
10,12,30,"[30200, 30230]"
10,13,43,[43730]
10,14,43,[43720]
10,15,47,[47250]
10,16,47,[47730]
10,17,47,[47750]
11,8,44,[44770]
11,9,52,[52140]
11,10,44,"[44230, 44250]"
11,11,44,[44710]
11,12,30,"[30110, 30140, 30170]"
11,13,43,[43740]
11,14,47,[47150]
11,15,47,[47190]
11,16,27,[27720]
11,17,47,[47113]
12,7,52,[52130]
12,8,52,[52210]
12,9,52,[52113]
12,10,52,[52710]
12,11,52,[52730]
12,12,48,[48880]
12,13,47,[47840]
12,14,47,[47850]
12,15,27,"[27230, 27140]"
12,16,47,[47230]
12,17,47,[47111]
13,7,52,[52800]
13,8,52,[52180]
13,9,52,[52111]
13,10,52,[52720]
13,11,52,[52740]
13,12,48,[48890]
13,13,47,[47830]
13,14,27,[27710]
13,15,27,"[27170, 27290, 27110, 27200]"
13,16,27,[27260]
13,17,47,[47290]
13,18,47,[47130]
14,7,52,[52790]
14,8,46,[46880]
14,9,52,[52770]
14,10,52,[52750]
14,11,48,[48870]
14,12,48,[48720]
14,13,48,[48740]
14,14,48,[48270]
14,15,47,[47820]
14,16,31,[31710]
14,17,31,[31200]
15,6,46,[46870]
15,7,29,[29200]
15,8,29,[29170]
15,9,46,[46710]
15,10,52,[52190]
15,11,48,[48860]
15,12,48,[48170]
15,13,48,[48730]
15,14,48,[48250]
15,15,48,[48330]
15,16,31,"[31110, 31140]"
15,17,31,[31170]
16,6,46,[46860]
16,7,29,"[29155, 29140]"
16,8,29,[29110]
16,9,46,[46720]
16,10,46,[46730]
16,11,48,[48850]
16,12,48,[48240]
16,13,48,"[48125, 48127]"
16,14,48,"[48121, 48123,48129]"
16,15,26,"[26320, 26470, 26260, 26500, 26230]"
16,16,26,"[26710, 26410, 26350]"
17,6,46,[46910]
17,7,46,[46840]
17,8,46,[46170]
17,9,46,[46790]
17,10,46,[46150]
17,11,46,[46230]
17,12,48,[48840]
17,13,48,[48820]
17,14,48,[48310]
17,15,26,"[26440, 26380, 26530]"
17,16,26,"[26140, 26110, 26170, 26200, 26290]"
18,6,46,[46110]
18,7,46,[46830]
18,8,46,[46800]
18,9,46,[46780]
18,10,46,[46130]
18,13,48,[48220]
19,5,46,[46900]
19,6,46,[46820]
19,7,46,[46810]
19,9,46,[46770]
20,7,46,[46890]
22,8,50,[50110]
22,9,50,[50130]
